Peabody,8953,8814,13943,4183,3025,14803,8145,10900,5331,12513,7979,9974,8134,17404,14842,10768,12226,13300,12078,7686,8102,11093,9714,10181,19821,3793,10730,14866,14368,11093
Rockport,1572,2008,2512,1124,1040,2437,1583,2047,1086,2182,1338,1959,1368,3245,3163,1408,3115,1420,1788,1852,1881,1611,1496,2105,3998,454,2650,1953,3166,1412
Rowley,1162,1033,1679,473,409,1766,1176,1289,724,1628,946,1422,1260,2134,2223,1192,1717,1678,1760,929,1402,1196,1446,1244,2837,412,1876,1624,2241,1231
Salem,5820,6575,8768,4116,2951,10083,6363,6330,4136,7747,5892,6089,5441,13286,12645,6159,10327,8361,6766,6284,4687,8118,5326,8007,14100,2386,9666,9454,12465,6571
Salisbury,1389,1152,1888,557,371,2202,1334,1377,820,1732,1123,1430,1430,2686,2779,1364,2083,2036,1965,1121,1563,1453,1650,1448,3321,467,2241,1913,2794,1317
Saugus,4775,4508,7628,1691,1554,8419,3660,6073,2695,6388,3924,5215,4258,8944,7903,5251,5859,7272,6488,3487,4631,5138,5389,4820,10862,1805,5727,7568,7559,5642
Swampscott,2671,3183,4311,1681,1739,4264,2782,3216,2017,3568,2526,3107,2538,5462,5449,2574,4110,3854,3596,3100,2508,3890,2843,3880,6281,888,4301,3701,5359,2562
Topsfield,1462,1377,2260,675,804,2147,1588,1374,896,1904,1001,1802,1467,2209,2340,1348,1970,1698,1876,1276,1428,1621,1630,1546,3111,464,1992,1909,2291,1571
Wenham,795,882,1356,392,483,1210,796,937,532,1102,652,994,794,1490,1393,903,1367,909,1000,826,745,983,794,1035,1727,274,1216,1095,1345,957
W. Newbury,910,981,1454,506,598,1371,1084,924,675,1212,774,1104,964,1762,1811,917,1579,1132,1255,956,1143,953,1087,1127,2248,293,1547,1167,1802,898
Ashfield,198,560,330,435,418,335,450,411,400,387,502,282,149,972,841,266,830,271,242,615,212,606,191,672,954,114,802,288,876,219
Bernardston,204,467,401,271,206,470,285,413,262,380,315,334,188,987,745,427,746,415,326,518,255,556,236,604,809,145,637,484,710,401
Buckland,207,466,344,326,313,367,324,409,302,402,398,292,115,916,728,318,726,311,219,501,175,544,152,595,774,124,636,375,636,375
Charlemont,138,257,238,158,151,239,234,248,195,266,261,196,129,551,477,206,447,231,144,325,144,308,137,336,534,65,387,231,446,173
Colrain,211,354,279,283,204,353,266,348,249,310,319,244,177,756,634,296,588,324,210,419,205,399,198,431,703,126,540,323,617,247
Conway,226,658,367,522,482,402,433,504,383,482,544,333,178,1071,961,277,869,354,311,663,287,628,254,721,1061,136,879,352,956,274
Deerfield,709,1510,1310,930,873,1342,974,1259,808,1311,1098,1021,464,2574,2016,1014,2222,798,753,1295,679,1400,572,1609,2342,352,1752,1188,2000,927
Erving,147,305,285,168,129,331,236,269,167,328,240,256,128,657,496,294,478,303,198,289,125,347,136,353,581,108,385,367,519,229
Gill,163,358,273,260,210,329,260,378,247,362,339,271,153,753,600,310,613,284,240,372,191,394,172,447,659,124,555,307,609,249
Greenfield,1677,3520,3019,2364,2000,3431,2502,3551,2239,3584,3358,2459,1254,6918,5786,2603,6043,2274,1897,3761,1544,4124,1437,4427,5895,1002,4932,3067,5762,2308
Hawley,39,74,67,48,49,64,66,61,47,69,65,52,38,133,126,49,113,60,56,77,46,82,48,86,160,30,119,75,143,48
Heath,96,193,143,142,131,155,158,169,134,164,198,102,76,365,305,131,294,138,109,208,114,196,103,216,357,57,245,181,290,131
Leverett,172,740,279,641,618,299,367,545,449,412,600,267,110,1129,991,243,975,239,192,796,208,730,153,833,1051,126,945,260,994,218
Leyden,68,205,156,128,115,155,149,198,122,200,195,128,73,397,316,151,334,129,111,237,89,233,83,263,362,67,316,130,314,133
Monroe,19,14,24,9,4,29,20,21,9,29,20,19,24,35,37,22,32,27,29,12,17,23,21,20,38,13,26,24,32,19
Montague,903,1836,1495,1271,1007,1740,1293,1797,1091,1779,1625,1288,714,3605,2943,1369,2955,1333,1082,1908,825,2040,778,2212,3349,595,2483,1627,2947,1154
New Salem,138,299,236,199,163,266,195,270,149,275,226,207,112,500,430,178,409,190,181,279,155,285,155,306,482,87,385,199,408,177
Northfield,306,721,577,473,427,614,535,699,453,710,617,549,293,1406,1093,604,1147,531,408,793,356,810,356,846,1156,200,937,659,1066,520
